objectid,mode,lineabbr,month_,year_,servicetype,avgboardings,city,county
12055,Commuter Rail,750,8,2017,WKD,17967.50179,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12047,Commuter Rail,750,9,2017,SAT,8338.305556,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12048,Commuter Rail,750,9,2017,WKD,19155.3484,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12058,Commuter Rail,750,10,2017,SAT,7844.875,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12046,Commuter Rail,750,10,2017,WKD,17144.45563,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12056,Commuter Rail,750,11,2017,SAT,7389.583333,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12068,Commuter Rail,750,11,2017,WKD,18639.242,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12053,Commuter Rail,750,12,2017,SAT,10154.96667,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12059,Commuter Rail,750,12,2017,WKD,17879.97932,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12038,Commuter Rail,750,1,2018,SAT,6286.75,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12029,Commuter Rail,750,1,2018,WKD,17738.26601,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12031,Commuter Rail,750,2,2018,SAT,6057.883333,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12023,Commuter Rail,750,2,2018,WKD,18092.03676,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12021,Commuter Rail,750,3,2018,SAT,7717.25,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12043,Commuter Rail,750,3,2018,WKD,17232.44829,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12040,Commuter Rail,750,4,2018,SAT,7651.125,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12041,Commuter Rail,750,4,2018,WKD,17386.16004,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12034,Commuter Rail,750,5,2018,SAT,6179.466667,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12044,Commuter Rail,750,5,2018,WKD,17238.08266,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12035,Commuter Rail,750,6,2018,SAT,7911.466667,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12022,Commuter Rail,750,6,2018,SUN,2295,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12024,Commuter Rail,750,6,2018,WKD,17700.65982,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12026,Commuter Rail,750,7,2018,SAT,5419.277778,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12039,Commuter Rail,750,7,2018,WKD,17242.9292,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12036,Commuter Rail,750,8,2018,SAT,7457.75,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12027,Commuter Rail,750,8,2018,WKD,18940.03909,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12028,Commuter Rail,750,9,2018,SAT,8384.5,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12025,Commuter Rail,750,9,2018,WKD,21799.88881,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12045,Commuter Rail,750,10,2018,SAT,9373.25,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12037,Commuter Rail,750,10,2018,WKD,20113.69513,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12033,Commuter Rail,750,11,2018,SAT,7977.266667,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12032,Commuter Rail,750,11,2018,WKD,20112.30651,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12042,Commuter Rail,750,12,2018,SAT,10915,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12030,Commuter Rail,750,12,2018,WKD,17573.97716,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12014,Commuter Rail,750,1,2019,SAT,6607.75,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12016,Commuter Rail,750,1,2019,WKD,18581.71921,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12009,Commuter Rail,750,2,2019,SAT,6528.933333,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
11998,Commuter Rail,750,2,2019,WKD,19430.88775,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12015,Commuter Rail,750,3,2019,SAT,7575.583333,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
11999,Commuter Rail,750,3,2019,WKD,18967.30415,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12008,Commuter Rail,750,4,2019,SAT,8738.25,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12011,Commuter Rail,750,4,2019,WKD,18025.84604,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12010,Commuter Rail,750,5,2019,SAT,7509.866667,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12020,Commuter Rail,750,5,2019,WKD,17653.95276,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12001,Commuter Rail,750,6,2019,SAT,7058.95,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12002,Commuter Rail,750,6,2019,WKD,17700.9278,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12013,Commuter Rail,750,7,2019,SAT,6394.333333,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12012,Commuter Rail,750,7,2019,WKD,17486.39585,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
11997,Commuter Rail,750,8,2019,SAT,7662.1,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12006,Commuter Rail,750,8,2019,WKD,18883.07554,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12018,Commuter Rail,750,9,2019,SAT,8783.333333,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12019,Commuter Rail,750,9,2019,WKD,21427.84085,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12003,Commuter Rail,750,10,2019,SAT,9961.291667,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12004,Commuter Rail,750,10,2019,WKD,20171.17623,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12017,Commuter Rail,750,11,2019,SAT,8061.313889,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12007,Commuter Rail,750,11,2019,WKD,19979.78563,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12000,Commuter Rail,750,12,2019,SAT,11045.33333,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12005,Commuter Rail,750,12,2019,WKD,17434.18868,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
11993,Commuter Rail,750,1,2020,SAT,7039.5,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
11992,Commuter Rail,750,1,2020,WKD,19012.22492,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
